,ids,retweet,favorite,inreplyto,friends,screen_name,followers,listed,text,location
2683,80671800,49,0,,4884,vcarman,4237,2,RT @WhiteHouseLeaks: What is @realDonaldTrump doing in this clip from the #SOTU address? https://t.co/fAcCWstrqq,"California, USA"
2684,871048111069835265,5299,0,,309,afrenchx21,177,1,"RT @TimRunsHisMouth: Whoa! Jacky Rosen angrily warns Kyrsten Sinema ""Watch your ass"" when she was the only Democrat applauding Trump. 

She…",United States
2685,4729714512,38899,0,,5703,Pjw20161951,5266,39,"RT @RealCandaceO: They won’t applaud 5 million people lifted off of food stamps. 
They won’t applaud historically low black unemployment.…","Texas, USA"
2686,3518597594,1283,0,,4528,bobette_copper,3135,5,"RT @KimStrassel: ""I want people come come into our country in the largest numbers ever."" Trump won't get credit for it, but this was an imp…",United States
2687,1026599961343942656,38726,0,,255,MakeupMercedesx,80,0,"RT @MichaelSkolnik: Parkland Shooter:
Not an immigrant
Tree Of Life Shooter:
Not an immigrant.
Las Vegas Shooter:
Not an immigrant
Borderli…",
2688,2550575082,72,0,,11796,sudischuricht,11629,366,RT @Q172018: Feinstein made the statement at a meeting of the Senate Judiciary Committee in 2013 while arguing for gun control legislation.…,
2689,1515235069,3210,0,,4719,ReneeB_75,1155,23,"RT @TeamPelosi: When he says that the economy is 'booming', remember that Trump and Republicans sold out Medicare, Medicaid and middle clas…",DMV
2690,1350630649,2310,0,,341,tigerband2003,100,0,"RT @RealDrGina: Judging by #SOTU, do we have a new #Democrat platform? 

✅Pro-socialism
✅Pro-human trafficking/sex slavery
✅Pro-pre and pos…",
2691,3167889429,41466,0,,262,obscura_city,39,4,"RT @AOC: Why should I be “spirited and warm” for this embarrassment of a #SOTU?

Tonight was an unsettling night for our country. The presi…",
2692,815337704812466177,2310,0,,11628,GingerCash777,11008,5,"RT @RealDrGina: Judging by #SOTU, do we have a new #Democrat platform? 

✅Pro-socialism
✅Pro-human trafficking/sex slavery
✅Pro-pre and pos…",United States
2693,803061157405802497,3,0,,440,conlibrarian,814,28,"RT @SoarForFreedom: Lately, the brutal-honesty of #GenZ😎gives me major hope for our Country!

Can we get this👍🏽tweet to President @realDona…","Texas, USA 🇺🇸"
2694,587451697,1222,0,,661,RogerBarker5,837,5,RT @heyitsCarolyn: Watch this little snippet from the #SOTU and “Whacky Jacky” ⁦NV Senator Jacky Rosen telling AR Senator Krysten Sinema to…,"Maryland, USA"
2695,382103791,259,0,,1606,EAAJAN,1058,1,"RT @MichaelKugelman: Trump suggests that the success of US military power forced the Taliban to the negotiating table. 
That is some magica…","Islamabad, Pakistan"
2696,82277921,45015,0,,578,sadie_burgess,334,5,RT @pattonoswalt: Congrats to @SpeakerPelosi for inventing the “fuck you” clap. #sotu https://t.co/eueoUf9IBT,"Rochester, NY"
2697,1016312006519984129,449,0,,100,Therealtrishe,9,0,RT @amyklobuchar: Missing from #SOTU? Any mention of climate change. Science is clear: climate change is happening. Rejoin international cl…,
2698,3410838076,49,0,,364,rockymusik,679,25,"RT @Tombx7M: You can feel the hate
Hate this strong cannot be good for America 
#FoxAndfriends #MorningJoe
#SOTU⁠ ⁠ #Tucker #Tcot #Ccot #Tr…",United States
2699,22682918,449,0,,2925,byst,2943,57,RT @amyklobuchar: Missing from #SOTU? Any mention of climate change. Science is clear: climate change is happening. Rejoin international cl…,"Atlanta, GA"
2700,171276194,11307,0,,492,juangomezva,182,7,"RT @GabbyGiffords: This is the state of America's gun violence crisis:

Since President Trump took office, over 75,000 people in America ha…",Santiago de Chile
2701,1000193665975779328,1748,0,,4908,WWG1WG2020,4234,6,"RT @Jim_Jordan: ""Rep. Jim Jordan discusses President Trump’s #SOTU and the report that special counsel Robert Mueller was called to appear…",
2702,805099380508389376,6717,0,,429,RightField75,527,11,"RT @RealDrGina: Can someone explain to me why almost none of the #Democrats clapped at the news of lowest unemployment for black Americans,…",
2703,3226453204,1779,0,,337,JudyB1313,1503,11,"RT @AARPadvocates: PhRMA spent a record $27.5 MILLION on lobbying last year, and Americans are paying the price while drug companies reap t…",
2704,1038804279623147520,4654,0,,12629,ChasingOzPhotog,25881,28,"RT @IlhanMN: 2019 mood.
#SOTU
@RashidaTlaib https://t.co/LJwKz4RGXS","Florida, USA"
2705,980141413747908610,1222,0,,2631,DonaldMortens10,2138,0,RT @heyitsCarolyn: Watch this little snippet from the #SOTU and “Whacky Jacky” ⁦NV Senator Jacky Rosen telling AR Senator Krysten Sinema to…,
2706,722592894880587776,2,0,,30061,kevinkc5757,27974,3,RT @Woke_2018: @pjbowles4 @John_R_Berna @Car9Beach @Jord_45 @MsRedwine @ripleymt @joseph_alberson @MissySDye @suprdupe @my3monkees @formula…,#AR
